# z	  Dc_lcdm	 Dc_wcdm
1.524999999999999911e+00	4.205538909612569114e+03	4.097820198816682932e+03
1.534999999999999920e+00	4.223558503894584646e+03	4.115663895199764738e+03
1.544999999999999929e+00	4.241488901637021627e+03	4.133420969228281137e+03
1.554999999999999938e+00	4.259330724820788419e+03	4.151092000317075872e+03
1.564999999999999947e+00	4.277084591132505921e+03	4.168677564332870134e+03
1.574999999999999956e+00	4.294751113964671276e+03	4.186178233581747918e+03
1.584999999999999964e+00	4.312330902417123070e+03	4.203594576798115668e+03
1.594999999999999973e+00	4.329824561299796187e+03	4.220927159135095280e+03
1.604999999999999982e+00	4.347232691136669928e+03	4.238176542156292271e+03
1.614999999999999991e+00	4.364555888170890285e+03	4.255343283828903623e+03
1.625000000000000000e+00	4.381794744371005436e+03	4.272427938518108022e+03
1.635000000000000009e+00	4.398949847438277175e+03	4.289431056982687551e+03
1.645000000000000018e+00	4.416021780815011880e+03	4.306353186371854463e+03
1.655000000000000027e+00	4.433011123693881018e+03	4.323194870223216640e+03
1.665000000000000036e+00	4.449918451028174786e+03	4.339956648461861732e+03
1.674999999999999822e+00	4.466744333542959794e+03	4.356639057400493584e+03
1.684999999999999831e+00	4.483489337747099853e+03	4.373242629740608209e+03
1.694999999999999840e+00	4.500154025946092588e+03	4.389767894574646562e+03
1.704999999999999849e+00	4.516738956255692756e+03	4.406215377389103196e+03
1.714999999999999858e+00	4.533244682616289538e+03	4.422585600068538042e+03
1.724999999999999867e+00	4.549671754807984144e+03	4.438879080900474946e+03
1.734999999999999876e+00	4.566020718466368635e+03	4.455096334581129668e+03
1.744999999999999885e+00	4.582292115098931390e+03	4.471237872221958241e+03
1.754999999999999893e+00	4.598486482102091031e+03	4.487304201356967496e+03
1.764999999999999902e+00	4.614604352778816065e+03	4.503295825950777726e+03
1.774999999999999911e+00	4.630646256356791127e+03	4.519213246407390216e+03
1.784999999999999920e+00	4.646612718007121657e+03	4.535056959579640534e+03
1.794999999999999929e+00	4.662504258863533323e+03	4.550827458779303925e+03
1.804999999999999938e+00	4.678321396042045308e+03	4.566525233787825528e+03
1.814999999999999947e+00	4.694064642661089238e+03	4.582150770867646315e+03
1.824999999999999956e+00	4.709734507862054670e+03	4.597704552774098374e+03
1.834999999999999964e+00	4.725331496830231117e+03	4.613187058767849521e+03
1.844999999999999973e+00	4.740856110816121145e+03	4.628598764627862693e+03
1.854999999999999982e+00	4.756308847157119999e+03	4.643940142664859195e+03
