# z	dc_LCDM	dc_wCDM
1.1649999999999998	3805.079589882247	3874.530746014907
1.1749999999999998	3827.6200739753785	3897.4863396888454
1.1849999999999998	3850.032184605246	3920.308587357496
1.1949999999999998	3872.316937155955	3942.998555862236
1.2049999999999998	3894.475339426011	3965.557304567291
1.2149999999999999	3916.5083916099816	3987.9858853018304
1.2249999999999999	3938.4170862840183	4010.285342308051
1.2349999999999999	3960.20240839501	4032.4567121949976
1.2449999999999999	3981.865335253256	4054.5010238978557
1.255	4003.406836528498	4076.419298642511
1.265	4024.8278742491516	4098.212549915113
1.275	4046.129402804609	4119.88178343645
1.285	4067.312368950468	4141.427997140903
1.295	4088.377711816566	4162.8521811597875
1.305	4109.326362917668	4184.155317808866
1.315	4130.159246166717	4205.338381579857
1.325	4150.877277890493	4226.402339135755
1.335	4171.481366847592	4247.348149309757
1.345	4191.972414248603	4268.176763107668
1.355	4212.351313778365	4288.889123713579
1.365	4232.618951620226	4309.486166498678
1.375	4252.776206482175	4329.968819033042
1.385	4272.823949624772	4350.338001100251
1.395	4292.763044890763	4370.59462471469
1.405	4312.594348736321	4390.7395941414015
1.4149999999999998	4332.318710263786	4410.773805918352
1.4249999999999998	4351.936971255854	4430.69814888099
1.4349999999999998	4371.449966211118	4450.513504188969
1.4449999999999998	4390.858522380892	4470.220745354925
1.4549999999999998	4410.1634598072305	4489.8207382752
1.4649999999999999	4429.365591362091	4509.3143412623685
1.4749999999999999	4448.465722787555	4528.702405079531
1.4849999999999999	4467.464652737044	4547.985772976188
1.4949999999999999	4486.363172817481	4567.165280725688
1.505	4505.162067632306	4586.2417566640825
1.515	4523.862114825325	4605.216021730346
1.525	4542.464085125299	4624.088889507855
1.535	4560.968742391254	4642.861166267056
1.545	4579.3768436584205	4661.53365100924
1.555	4597.689139184794	4680.107135511341
1.565	4615.906372498233	4698.582404371704
1.575	4634.029280444076	4716.960235056738
1.585	4652.0585932332115	4735.241397948403
1.595	4669.995034490565	4753.426656392447
1.605	4687.839321303988	4771.516766747358
1.615	4705.5921642734575	4789.512478433956
1.625	4723.254267560602	4807.414533985577
1.635	4740.826328938479	4825.223669098787
1.645	4758.3090398416	4842.940612684601
1.655	4775.703085416154	4860.5660869201165
1.665	4793.0091445703865	4878.100807300569
1.6749999999999998	4810.227890025138	4895.545482691703
1.6849999999999998	4827.3599883644865	4912.900815382481
1.6949999999999998	4844.406100086467	4930.167501138044
1.7049999999999998	4861.366879653862	4947.346229252898
1.7149999999999999	4878.24297554502	4964.437682604306
1.7249999999999999	4895.035030304684	4981.442537705832
1.7349999999999999	4911.743680594801	4998.361464760998
1.7449999999999999	4928.369557245315	5015.195127717059
1.755	4944.913285304889	5031.944184318819
1.765	4961.375484091559	5048.609286162491
1.775	4977.756767243298	5065.191078749566
1.785	4994.057742768465	5081.690201540673
1.795	5010.279013096135	5098.10728800936
1.805	5026.421175126279	5114.442965695867
1.815	5042.48482027979	5130.697856260756
1.825	5058.470534548338	5146.872575538466
1.835	5074.378898544038	5162.967733590731
1.845	5090.210487548921	5178.98393475985
1.855	5105.9658715641945	5194.92177772178
1.865	5121.645615359282	5210.781855539078
1.875	5137.250278520633	5226.564755713614
1.885	5152.780415500282	5242.271060239082
1.895	5168.236575664167	5257.901345653297
1.905	5183.619303340176	5273.45618309023
1.915	5198.9291378659345	5288.936138331814
1.9249999999999998	5214.166613636308	5304.341771859459
1.9349999999999998	5229.332260150629	5319.673638905321
1.9449999999999998	5244.426602059614	5334.932289503262
1.9549999999999998	5259.450159212005	5350.118268539524
1.9649999999999999	5274.403446700895	5365.232115803104
1.9749999999999999	5289.286974909743	5380.274366035806
1.9849999999999999	5304.101249558075	5395.245548981979
1.9949999999999999	5318.8467717468775	5410.146189437921
