# z	LCDM	wCDM
0.85	3023.1820357051406	3076.742845827685
0.86	3050.3267429456964	3104.482071825642
0.87	3077.307571037722	3132.051253668097
0.88	3104.1257331187307	3159.4516140605724
0.89	3130.7824384828014	3186.6843750422845
0.9	3157.2788923256358	3213.7507575539857
0.91	3183.616295501575	3240.6519810248856
0.92	3209.795844292231	3267.3892629780835
0.93	3235.8187301863854	3293.9638186539432
0.9400000000000001	3261.6861396708173	3320.3768606508706
0.9500000000000001	3287.399254031724	3346.6295985829374
0.96	3312.9592491664093	3372.723238753832
0.97	3338.367295404908	3398.658983846594
0.98	3363.624557341238	3424.4380326286305
0.99	3388.7321936739613	3450.0615796715133
1.0	3413.6913570557676	3475.5308150850483
1.01	3438.503193951746	3500.8469242651486
1.02	3463.1688445060945	3526.0110876550298
1.03	3487.689442416948	3551.0244805192706
1.04	3512.066114819075	3575.8882727302894
1.05	3536.299982174138	3600.6036285667874
1.06	3560.392158168286	3625.1717065237476
1.07	3584.343749616792	3649.593659133552
1.08	3608.155856375497	3673.8706327978257
1.09	3631.8295712588083	3698.003767629605
1.1	3655.36597996402	3721.994197305448
1.11	3678.766161001707	3745.843048927103
1.12	3702.031185631982	3769.551442892395
1.1300000000000001	3725.1621178063792	3793.1204927749454
1.1400000000000001	3748.1600141151603	3816.5513052124084
1.1500000000000001	3771.0259237398254	3839.8449798028787
1.16	3793.760888410641	3863.002609009144
1.17	3816.3659423689587	3886.0252780704895
1.18	3838.8421123341677	3908.91406492172
1.19	3861.1904174750675	3931.670040119137
1.2	3883.411869385499	3954.2942667731622
1.21	3905.5074720640464	3976.7878004873496
1.22	3927.4782218976484	3999.1516893035105
1.23	3949.325107648957	4021.3869736526876
1.24	3971.049110447267	4043.4946863117525
1.25	3992.6512037828957	4065.475852365352
1.26	4014.132353504819	4087.331489173001
1.27	4035.4935178214687	4109.062606341081
1.28	4056.735647304507	4130.67020569953
1.29	4077.8596848954794	4152.155281283011
1.3	4098.866565915187	4173.518819316371
1.31	4119.757218075675	4194.761798204169
1.32	4140.5325614947	4215.885188524119
1.33	4161.193508712559	4236.889953024227
1.34	4181.740964711196	4257.777046623486
1.35	4202.175826935412	4278.547416415933
1.36	4222.498985316149	4299.202001677919
1.37	4242.711322295695	4319.741733878423
1.3800000000000001	4262.813712854724	4340.167536692271
1.3900000000000001	4282.807024541085	4360.480326016126
1.4000000000000001	4302.692117500239	4380.681009987063
1.41	4322.469844507253	4400.7704890036575
1.42	4342.141051000287	4420.749655749408
1.43	4361.706575115461	4440.619395218396
1.44	4381.1672477230495	4460.380584743045
1.45	4400.523892464911	4480.034094023887
1.46	4419.777325793088	4499.580785161201
1.47	4438.9283570095085	4519.021512688439
1.48	4457.977788306712	4538.357123607314
1.49	4476.926414809546	4557.588457424483
1.5	4495.77502461776	4576.7163461897
1.51	4514.524398849449	4595.741614535367
1.52	4533.175311685279	4614.665079717404
1.53	4551.728530413437	4633.487551657314
1.54	4570.184815475269	4652.209832985428
1.55	4588.544920511534	4670.8327190852
1.56	4606.809592409236	4689.356998138486
1.57	4624.979571348996	4707.783451171785
1.58	4643.055590852887	4726.112852103292
1.59	4661.038377832731	4744.345967790787
1.6	4678.928652638789	4762.483558080227
1.61	4696.727129108798	4780.52637585503
1.62	4714.434514617357	4798.475167085964
1.6300000000000001	4732.051510125569	4816.330670881611
1.6400000000000001	4749.578810230953	4834.0936195393315
1.6500000000000001	4767.017103217573	4851.7647385967
1.6600000000000001	4784.367071106334	4869.344746883355
1.67	4801.6293897054575	4886.834356573217
1.68	4818.8047286610645	4904.234273237035
1.69	4835.893751507869	4921.545195895226
1.7	4852.897115719927	4938.767817070951
1.71	4869.815472761451	4955.9028228434145
1.72	4886.649468137634	4972.950892901323
1.73	4903.399741445471	4989.9127005965065
1.74	4920.066926424562	5006.788912997628
1.75	4936.651651007874	5023.580190943987
1.76	4953.154537372428	5040.287189099359
1.77	4969.576201989918	5056.910556005863
1.78	4985.91725567721	5073.450934137828
1.79	5002.178303646739	5089.908959955621
1.8	5018.359945556762	5106.285263959425
1.81	5034.46277556147	5122.580470742938
1.82	5050.487382360925	5138.795199046977
1.83	5066.434349250822	5154.93006181296
1.84	5082.304254172062	5170.985666236253
1.85	5098.097669760123	5186.962613819357
1.86	5113.815163394203	5202.86150042493
1.87	5129.457297246153	5218.682916328602
1.8800000000000001	5145.024628329158	5234.427446271608
1.8900000000000001	5160.517708546184	5250.095669513179
1.9000000000000001	5175.9370847381515	5265.688159882719
1.9100000000000001	5191.283298731865	5281.205485831724
1.92	5206.556887387648	5296.648210485438
1.93	5221.758382646714	5312.0168916942575
1.94	5236.88831157824	5327.312082084836
1.95	5251.947196426147	5342.534329110912
1.96	5266.935554655578	5357.684175103827
1.97	5281.853898999077	5372.762157322746
1.98	5296.7027375024445	5387.768808004546
1.99	5311.482573570284	5402.704654413398
