# z	  Dc_lcdm	 Dc_wcdm
3.850000000000000089e-01	1.386400900851441293e+03	1.334284156463959107e+03
3.950000000000000178e-01	1.419238618188027658e+03	1.366092129603931426e+03
4.050000000000000266e-01	1.451912877870344573e+03	1.397751476866265875e+03
4.150000000000000355e-01	1.484423797042095657e+03	1.429262168434558134e+03
4.249999999999999889e-01	1.516771519633934531e+03	1.460624199665937795e+03
4.349999999999999978e-01	1.548956215752773460e+03	1.491837590643780004e+03
4.450000000000000067e-01	1.580978081067772791e+03	1.522902385673258550e+03
4.550000000000000155e-01	1.612837336194677846e+03	1.553818652820156331e+03
4.650000000000000244e-01	1.644534226077717904e+03	1.584586483421079038e+03
4.750000000000000333e-01	1.676069019371045670e+03	1.615205991594334137e+03
4.849999999999999867e-01	1.707442007821323386e+03	1.645677313746915388e+03
4.949999999999999956e-01	1.738653505649012914e+03	1.676000608079105405e+03
5.050000000000000044e-01	1.769703848933725112e+03	1.706176054085993655e+03
5.150000000000000133e-01	1.800593394998879830e+03	1.736203852059268911e+03
5.250000000000000222e-01	1.831322521801674384e+03	1.766084222585778662e+03
5.350000000000000311e-01	1.861891627324540877e+03	1.795817406047566237e+03
5.450000000000000400e-01	1.892301128971177832e+03	1.825403662120986610e+03
5.550000000000000488e-01	1.922551462968504893e+03	1.854843269278220305e+03
5.650000000000000577e-01	1.952643083769901295e+03	1.884136524287137490e+03
5.750000000000000666e-01	1.982576463467476515e+03	1.913283741715736141e+03
5.849999999999999645e-01	2.012352091208411366e+03	1.942285253437412393e+03
5.949999999999999734e-01	2.041970472617890209e+03	1.971141408139148098e+03
6.049999999999999822e-01	2.071432129228658596e+03	1.999852570832769061e+03
6.149999999999999911e-01	2.100737597917565381e+03	2.028419122369666638e+03
6.250000000000000000e-01	2.129887430349412170e+03	2.056841458958625481e+03
6.350000000000000089e-01	2.158882192428400685e+03	2.085119991691411997e+03
6.450000000000000178e-01	2.187722463757474543e+03	2.113255146065915142e+03
6.550000000000000266e-01	2.216408837105777366e+03	2.141247361520917821e+03
6.650000000000000355e-01	2.244941917884474606e+03	2.169097090972659316e+03
6.750000000000000444e-01	2.273322323631134623e+03	2.196804800357438126e+03
6.850000000000000533e-01	2.301550683501129242e+03	2.224370968179845477e+03
6.950000000000000622e-01	2.329627637776320626e+03	2.251796085066862361e+03
7.050000000000000711e-01	2.357553837366396237e+03	2.279080653328031076e+03
7.149999999999999689e-01	2.385329943335393182e+03	2.306225186521894102e+03
7.249999999999999778e-01	2.412956626429638163e+03	2.333230209028881745e+03
7.349999999999999867e-01	2.440434566616567736e+03	2.360096255630791802e+03
7.449999999999999956e-01	2.467764452632955908e+03	2.386823871097025403e+03
7.550000000000000044e-01	2.494946981542604590e+03	2.413413609777690908e+03
